boundary_alpha,correction_multiplier,max_favorable_r,best_margin_r,best_margin,any_favorable
0.08,0.4,4.0,3.0,4.995629,true
0.08,0.8,4.0,3.0,2.917168,true
0.08,1.2,3.0,2.0,1.772275,true
0.12,0.4,4.0,3.0,3.373361,true
0.12,0.8,3.0,2.0,2.179728,true
0.12,1.2,2.0,2.0,1.048357,true
0.18,0.4,3.0,2.0,2.278094,true
0.18,0.8,2.0,2.0,1.146723,true
0.18,1.2,2.0,2.0,0.015352,true
0.25,0.4,2.0,2.0,1.148705,true
0.25,0.8,2.0,1.5,0.149146,true
0.25,1.2,,1.5,-0.585701,false
0.35,0.4,1.5,1.5,0.207530,true
0.35,0.8,,1.5,-0.527317,false
0.35,1.2,,1.5,-1.262164,false
